Zip,School,Rating
48093,Rockwell School,4
48329,Pierce Middle School,3
48329,Schoolcraft Elementary School,4
48329,Mason Middle School,4
48329,Cooley Elementary School,4
48329,Waterford Kettering High School,3
48329,Oakdale Academy,5
48329,Our Lady Of The Lakes Catholic School,4
48329,Academy Of Waterford,2
48329,Waterford Montessori Academy,6
48326,Auburn Elementary School,3
48326,R. Grant Graham Elementary School,4
48326,Avondale High School,4
48326,Rogers School,2
48326,Oakland Christian School,4
48326,Auburn Hills Christian School,4
48075,Agbu Alex-Marie Manoogian School,5
48075,Dr. Joseph F. Pollack Academic Center Of Excellenc,3
48075,Morris Adler Elementary School,5
48075,Children's Technological Academy,5
48306,Hart Middle School,4
48306,Baldwin Elementary School,5
48306,Brewster Elementary School,3
48306,Rochester Adams High School,4
48306,Van Hoosen Middle School,4
48306,Hugger Elementary School,4
48306,Musson Elementary School,4
48306,Oak Arbor Church School,5
48306,Stoney Creek High School,5
48306,Living Word Lutheran School,5
48009,Derby Middle School,4
48009,Ernest W. Seaholm High School,4
48009,Pierce Elementary School,4
48009,Quarton Elementary,4
48009,Holy Name School,4
48009,Our Shepherd Lutheran School,4
48009,Eton Academy,3
48009,Roeper School,5
48327,Haviland Elementary School,4
48327,Riverside Elementary School,4
48327,Beaumont Elementary School,4
48327,Knudsen Elementary School,4
48327,Waterford Adventist School,3
48327,Lakecrest Baptist School,5
48204,Hope Academy,4
48204,Sampson Academy,5
48204,St. Cecilia School,5
48204,Allen Academy,3
48083,Baker Middle School,3
48083,Morse Elementary School,3
48083,Wattles Elementary School,5
48083,Barnard Elementary School,7
48083,Susick Elementary School,4
48083,Bethany Christian School,4
48083,Oakland Childrens Academy,4
48223,Detroit Community Schools-High School,3
48223,Cooke Elementary School,5
48223,Gompers Elementary-Middle School,5
48223,Murphy Performance Academy,4
48223,Brown Ronald Academy,3
48223,Detroit Community Schools-Elementary,3
48223,Detroit Leadership Academy,4
48346,Clarkston Elementary School,4
48346,Clarkston Junior High School,3
48346,Clarkston High School,3
48346,Pine Knob Elementary School,5
48346,North Sashabaw Elementary School,5
48346,Sashabaw Middle School,4
48214,Timbuktu Academy Of Science And Technology,4
48214,Hutchinson Elementary-Middle School,4
48214,Nichols Elementary-Middle School,4
48214,Southeastern High School,1
48214,Garvey Academy,3
48214,Detroit Waldorf School,5
48214,Cornerstone School,5
48214,Covenant House Academy Detroit - East Site,5
48214,Detroit Enterprise Academy,4
48371,Oxford Elementary School,3
48371,Lakeville Elementary School,4
48371,Clear Lake Elementary School,4
48371,Oxford High School,4
48371,Oxford Area Middle School,2
48134,Summit Academy,4
48134,Flat Rock Community High School,3
48134,Thomas Simpson Middle School,4
48134,John M. Barnes Elementary School,4
48134,Woodhaven High School,4
48134,Wegienka Elementary School,4
48375,Orchard Hills Elementary School,5
48375,Novi High School,9
48375,Village Oaks Elementary School,4
48375,Sundai Michigan International Academy,4
48375,Oakland FlexTech Academy,5
48085,Leonard Elementary School,4
48085,Troy Union Elementary School,4
48085,Hill Elementary School,4
48085,Smith Middle School,5
48085,Costello Elementary School,5
48085,Larson Middle School,3
48085,Athens High School,4
48085,Wass Elementary School,4
48348,Springfield Plains Elementary School,4
48348,Independence Elementary School,5
48348,Bailey Lake Elementary  School,5
48348,Cedar Crest Academy,5
48348,Springfield Christian Academy,3
48348,Everest Academy,5
48331,Forest Elementary School,4
48377,Meadowbrook Elementary School,5
48377,Hickory Woods Elementary School,4
48377,Franklin Road Christian School,5
48125,Oakley W. Best Middle School,4
48125,Pardee School,3
48125,Annapolis High School,3
48125,Polk Elementary School,4
48125,Robichaud Senior High School,3
48125,Thorne Elementary School,4
48125,St Sebastian Catholic School,4
48125,Dearborn Heights Virtual Academy,1
48168,Northville High School,4
48168,Meads Mill Middle School,4
48168,Winchester Elementary School,3
48168,Salem Elementary School,5
48168,Northville Christian School,4
48168,Ridge Wood Elementary School,5
48314,Burr Elementary School,3
48314,Dresden Elementary School,4
48382,Country Oaks Elementary School,4
48382,Oak Valley Middle School,5
48382,Walled Lake Northern High School,3
48382,Clifford H. Smart Middle School,4
48382,Commerce Elementary School,5
48033,Glenn W. Levey Middle School,4
48033,Southfield High School,6
48033,Bradford Academy,3
48033,Laurus Academy,6
48033,Early Impressions,5
48033,University High School Academy,4
48033,Taylor International Academy,3
48033,University High School Preparatory Academy,5
48169,Farley Hill Elementary School,6
48169,Pathfinder School,5
48169,Country Elementary School,5
48169,Pinckney  Community High School,3
48169,Navigator School,4
48169,St. Mary Catholic School,5
48169,Livingston Christian School,5
48169,Livingston Christian Schools,5
48442,Holly Academy,8
48442,Rose Pioneer Elementary School,5
48442,Holly High School,7
48442,Holly Elementary School,4
48442,Patterson Elementary School,4
48442,Holly Middle School,3
48442,Promise Village Boys Home,5
48213,Holmes A.L.  Elementary-Middle School,3
48213,Edward 'Duke' Ellington @ Beckham,4
48213,Blackwell Institute,2
48213,EMAN Hamilton Academy,1
48114,Spencer Road Elementary School,5
48114,Hilton Road Elementary School,3
48114,Hartland Farms Intermediate School,4
48114,Hartland Lakes Elementary School,4
48114,Cornerstone Christian School,5
48114,Shepherd of the Lakes Lutheran School,4
48114,FlexTech High School,5
48334,Beechview Elementary School,4
48334,Kenbrook Elementary School,4
48334,North Farmington High School,4
48334,Wood Creek Elementary School,4
48334,Harrison High School,4
48334,Warner Upper Elementary School,4
48334,Highmeadow Common Campus School,4
48334,St Fabian Catholic School,4
48334,Maria Montessori Center,5
48334,Montessori Academy Of Farmington Hills,5
48334,Hillel Day School,5
48334,Schoolhouse Montessori Academy - Farmington Hills,5
48334,Red Hill Montessori,4
48334,Oakland Early College,8
48334,Aim High School,5
48334,The Maria Montessori Center,4
48334,Faxon Language Immersion Academy,4
48094,Washington Elementary School,4
48094,Powell Middle School,4
48094,Hevel Elementary,5
48094,Cross Of Glory Lutheran School,4
48184,Benjamin Franklin Middle School,3
48184,Roosevelt/Mcgrath Elementary School,2
48184,Taft-Galloway Elementary School,2
48184,Wayne Memorial High School,5
48184,Hoover Elementary School,2
48184,St. Mary School,4
48184,St Michael Lutheran School,5
48240,Redford Union High School,3
48240,David Ellis Academy West,4
48240,Beech Elementary,2
48030,Hazel Park High School,3
48030,Hoover Elementary School,5
48030,United Oaks Elementary School,5
48030,Hazel Park Junior High School,3
48082,Lake Shore High School,3
48082,Masonic Heights Elementary School,5
48082,Violet Elementary School,4
48082,Kennedy Middle School,3
48386,Oxbow Elementary School,4
48386,Dublin Elementary,5
48386,Houghton Elementary School,3
48386,St. Patrick School,4
48098,Woodland Elementary School,4
48098,Hamilton Elementary School,4
48098,Troy High School,4
48098,Martell Elementary School,3
48098,Renaissance Montessori Center,5
48342,Pontiac Academy For Excellence - High School,4
48342,Great Lakes Academy,4
48342,Whitmer Resource Center,3
48342,Herrington School,3
48342,Life Skills Center of Pontiac,3
48342,Sarah J. Webber Media Arts Academy,2
48230,George Defer Elementary School,5
48230,Lewis Maire Elementary School,5
48230,Pierce Middle School,5
48230,Robert Trombly Elementary School,5
48230,St Clare Of Montefalco School,5
48206,Central Collegiate Academy,4
48206,Durfee Elementary-Middle School,2
48206,Thirkell Elementary School,4
48072,Anderson Middle School,4
48072,Berkley High School,4
48072,Rogers Elementary School,7
48072,Angell Elementary School,5
48072,Pattengill School,4
48043,Clinton Valley Elementary School,5
48043,Mount Clemens High School,2
48043,Mount Clemens Junior High  School,3
48043,St. Mary School,5
48043,Montessori Stepping Stones,4
48043,Mt. Clemens Montessori Academy,4
48043,Seminole Academy,4
48043,Prevail Academy,4
48304,Harlan Elementary School,5
48304,East Hills Middle School,4
48304,Eastover Elementary School,4
48304,St. Hugo of the Hills Elementary School,4
48304,Roeper City and Country Elementary School,4
48304,Roeper City & Country School,5
48304,The Roeper School - Lower Campus,4
48059,Fort Gratiot Middle School,2
48059,Keewahdin Elementary School,4
48059,Edison Elementary School,5
48059,St Edward On The Lake School,4
48193,Huntington Elementary School,6
48193,Memorial Elementary School,4
48193,Riverview Community High School,4
48193,Seitz Middle School,5
48193,Forest Elementary School,4
48193,Gudith Elementary School,4
48193,Gabriel Richard Catholic High School,4
48323,West Hills Middle School,4
48323,Eager Minds Montessori,5
48323,Walnut Creek Middle School,4
48323,Pleasant Lake Elementary School,5
48323,Sheiko Elementary School,4
48323,West Bloomfield High School,8
48302,Conant Elementary School,9
48302,Way Elementary School,5
48302,Bloomfield Hills Middle School,9
48302,Bloomfield Christian School,5
48302,Bloomfield Hills High School,7
48051,Francis A. Higgins Elementary School,5
48051,L'anse Creuse Middle School - East,4
48051,Joseph M. Carkenord Elementary School,4
48341,Arts And Technology Academy Of Pontiac,2
48324,Keith Elementary School,4
48324,Abbott Middle School,4
48324,Scotch Elementary School,4
48324,St Mary's Preparatory School,4
48026,Eisenhower Elementary School,4
48026,Fraser High School,6
48026,Ralph Waldo Emerson Elementary School,5
48026,Thomas A. Edison Elementary School,4
48026,Richards Middle School,4
48026,St John Lutheran School,4
48026,Arts Academy in the Woods,3
48225,Chandler Park Academy - Middle School,2
48225,Beacon Elementary School,5
48225,Harper Woods High School,3
48225,Tyrone Elementary School,5
48225,Charles A. Poupard Elementary School,5
48225,Chandler Park Academy - Elementary,3
48225,Chandler Park Academy - High School,5
48225,Harper Woods Middle School,3
48225,Starr Detroit Academy,3
48225,Diploma Success Community School,1
48025,Berkshire Middle School,4
48025,Beverly Elementary School,7
48025,Greenfield Elementary School,7
48025,Wylie E. Groves High School,5
48025,Bingham Farms Elementary School,4
48025,Our Lady Queen of Martyrs School,4
48025,Detroit Country Day Middle School,4
48025,Huda School and Montessori,5
48025,Nexus Academy of Royal Oak,2
48362,Blanche Sims Elementary School,4
48362,Webber School,4
48362,Pine Tree Elementary School,6
48362,St Joseph School,5
48362,Paint Creek Elementary School,4
48855,Ruahmah J. Hutchings Elementary,8
48381,Johnson Elementary School,4
48381,Muir Middle School,4
48381,Kurtz Elementary School,6
48017,Clawson High School,3
48017,Clawson Middle School,4
48017,Kenwood Elementary School,4
48017,Paul A. Schalm School,4
48017,Japhet School,5
48017,Guardian Angels School,4
48001,Algonac Elementary School,4
48001,Algonac High School,4
48374,Thornton Creek Elementary School,5
48374,Novi Woods Elementary School,4
48374,Novi Middle School,5
48374,Novi Meadows School,4
48374,Parkview Elementary School,5
48374,Catholic Central High School,4
48374,Deerfield Elementary School,4
48301,Birmingham Covington School,8
48301,West Maple Elementary School,5
48301,St. Regis Elementary School,4
48301,Marian High School,4
48301,Brother Rice High School,4
48301,Wing Lake Developmental Center,5
48836,Natalie Kreeger Elementary School,4
48836,Fowlerville Junior High School,5
48836,Fowlerville High School,3
48173,Oscar A. Carlson High School,7
48173,Parsons Elementary School,5
48173,Shumate Middle School,4
48173,St. Mary Catholic School,5
48173,Chapman Elementary School,4
48079,Gearing Elementary School,4
48079,St. Clair High School,4
48079,St. Clair Middle School,4
48079,Theo V. Eddy Elementary School,5
48079,St Mary Elementary School,4
48462,Brandon High School,3
48462,Oakwood Elementary School,5
48462,Brandon Middle School,4
48462,Harvey-Swanson Elementary School,5
48383,Brooks Elementary School,4
48383,Lakewood Elementary School,4
48383,Lakeland High School,3
48383,White Lake Middle School,4
48138,Grosse Ile Middle School,5
48138,Grosse Ile High School,4
48138,Meridian Elementary School,3
48040,Morton Elementary School,3
48040,Marysville Middle School,3
48040,Marysville High School,4
48040,Washington Elementary School,4
48040,Gardens Elementary School,5
48360,Orion Oaks Elementary School,4
48360,Scripps Middle School,5
48360,Lake Orion Community High School,3
48360,Stadium Drive Elementary School,5
48360,Waldon Middle School,4
48360,Good Shepherd Lutheran School,4
48360,Lake Orion Baptist School,5
48065,Romeo High School,3
48065,Romeo Middle School,4
48065,Amanda Moore Elementary School,3
48062,Richmond Middle School,4
48062,Richmond Community High School,3
48062,Will L. Lee School,6
48062,St Peter S Lutheran School,5
48062,St. Joseph's Academy,5
48062,St. Augustine Catholic School,5
48444,Imlay City Middle School,4
48444,Imlay City High School,4
48444,Borland Elementary School,3
48444,Imlay City Christian School,5
48074,Landmark Academy,4
48074,Kimball Elementary School,2
48074,Indian Woods Elementary School,4
48074,New Life Christian Academy,4
48359,Carpenter Year Round Elementary School,5
48359,Divine Grace Lutheran School,5
48164,Huron High School,4
48164,Brown Elementary School,4
48164,Carl T. Renton Jr. High School,4
48164,William D. Miller Elementary School,5
48164,St Stephen Elementary School,4
48164,St John's Lutheran School,5
48357,Milford High School,2
48357,Highland Elementary School,6
48039,Belle River Elementary School,5
48039,Marine City Middle School,3
48039,Marine City High School,5
48039,Holy Cross Catholic School,5
48039,Cardinal Mooney Catholic School,5
48356,Spring Mills Elementary School,6
48356,Building Blocks Preschool,5
48455,Emma Murphy Elementary School,5
48461,North Branch Middle School,5
48461,North Branch High School,4
48461,North Branch Elementary School,5
48461,Ruth Fox Elementary School,5
48054,Pine River Elementary School,9
48380,Heritage Elementary School,3
48380,West Highland Christian Academy,4
48363,Delta Kelly Elementary School,4
48363,Oakview Middle School,5
48363,Eagle Creek Academy,4
27713,Kestrel Heights School,3
27713,Lowe's Grove Middle,3
27713,Parkwood Elementary,5
27713,Pearsontown Elementary,7
27713,Southwest Elementary,4
27707,Hillside High,4
27707,James E Shepard Middle School,2
27707,Lakewood Elementary,1
27707,Fayetteville Street Elementary,2
27707,Charles E Jordan Sr High School,5
27707,Sherwood Githens Middle,5
27707,Morehead Montessori,5
27707,Rogers-Herr Middle,7
27707,C. C. Spaulding Elementary,2
27707,W G Pearson Elementary,2
27707,Cresset Christian Academy,4
27707,Faith Assembly Christian Academy,4
27707,Camelot Academy,4
27707,Montessori Community School,5
27707,Mount Zion Christian Academy,3
27707,Quality Education Institute,5
27707,Hope Valley Elementary,2
27707,Five Oaks Sda School,5
27707,J D Clement Early College High School,9
27707,Creekside Elementary,4
27707,Hillside New Tech High School,6
27707,Lakewood Montessori Middle School,4
27707,The Institute Development Young Leaders,3
27703,Maureen Joy Charter School,7
27703,Bethesda Elementary,3
27703,Oak Grove Elementary,3
27703,Southern School of Energy and Sustainability,2
27703,R N Harris Elementary,4
27703,Y E Smith Elementary,3
27703,Bethesda Christian Academy,4
27703,Research Triangle Charter,5
27703,Middle College High School @ Dtcc,8
27703,Durham's Performance Learning,1
27703,Southern School Of Engineering At,4
27703,Spring Valley Elementary School,4
27703,Reaching All Minds Academy,3
27705,Carter Community Charter,3
27705,Hillandale Elementary,4
27705,Forest View Elementary,6
27705,E K Powe Elementary,5
27705,Carolina Friends School,3
27705,Hill Center,4
27705,Durham Academy,4
27705,Triangle Day School,5
27705,Lerner School,5
27705,Trinity School,4
27705,Montessori School Of Durham,4
27705,Duke School,4
27705,Liberty Christian School,4
27516,Woods Charter,8
27516,Chapel Hill High School,8
27516,Elizabeth Seawell Elementary School,6
27516,Frank P Graham Elementary School,5
27516,Grey Culbreth Middle School,6
27516,Mcdougle Middle School,6
27516,C And L Mcdougle Elementary School,5
27516,Emerson Waldorf School,4
27516,Mary Scroggs Elementary School,7
27516,R D And Euzelle Smith Middle School,8
27516,Morris Grove Elementary School,7
27516,Margaret B. Pollard Middle School,7
27516,Northside Elementary School,3
27704,Brogden Middle,2
27704,Club Boulevard Elementary,2
27704,Glenn Elementary,1
27704,Holt Elementary Language Academy,5
27704,Merrick-Moore Elementary,3
27704,Neal Middle,1
27704,Excelsior Classical Academy,5
27704,Gorman Christian Academy,5
27704,Lakeview School,3
27704,Voyager Academy,8
27704,City Of Medicine Academy,9
27704,Sandy Ridge Elementary School,3
27704,Lucas Middle School,2
27517,Ephesus Road Elementary School,6
27517,Glenwood Elementary School,8
27517,North Chatham Elementary,5
27517,Mel And Zora Rashkis Elementary School,8
27517,Willow Oak Montessori,4
27278,Orange Charter,7
27278,A L Stanback Middle,5
27278,Cameron Park Elementary,6
27278,Central Elementary,5
27278,Charles W Stanford Middle,6
27278,Grady Brown Elementary,5
27278,Orange High,7
27278,Hillsborough Elementary,6
27278,Pinewoods Montessori School,3
27278,Pathways Elementary,5
27278,Cedar Ridge High,7
27278,Partnership Academy Alternativ,5
27278,The Expedition School,9
27514,Estes Hills Elementary School,5
27514,Guy Phillips Middle School,8
27514,East Chapel Hill High School,9
27514,New Hope Elementary,3
27514,St. Thomas More Catholic School,4
27514,Montessori Day School,5
27701,Healthy Start Academy,2
27701,Burton Elementary,4
27701,George Watts Elementary,5
27701,Durham School Of The Arts,8
27701,Eastway Elementary,1
27701,Immaculata Catholic School,4
27701,Central Park School For Child,6
27701,Union Independent School,5
27312,Horton Middle,5
27312,Northwood High,5
27312,Pittsboro Elementary,8
27312,Perry W Harrison Elementary,5
27712,Eno Valley Elementary,2
27712,George L Carrington Middle,4
27712,Little River Elementary,4
27712,Northern High,3
27712,Easley Elementary,5
27712,Riverside High School,4
27344,Chatham Charter,8
27344,Chatham Middle,4
27344,Jordan Matthews High,2
27344,Siler City Elementary,5
27344,Silk Hope Elementary School,7
27344,Sage Academy,5
27344,Virginia Cross Elementary,3
27574,North End Elementary,4
27574,Northern Middle,4
27574,Bethel Hill Charter,5
27574,Stories Creek Elementary,7
27573,North Elementary,4
27573,Person High School,2
27573,South Elementary,3
27573,Southern Middle,5
27573,Roxboro Community,9
18360,B F Morey El School,3
18360,Stroudsburg High School,8
18360,Stroudsburg Intermediate Elementary School,5
18360,Arlington Heights El School,4
18360,Growing Concern School,5
18360,Stroudsburg Junior High School,6
18360,Stroudsburg Middle School,7
18301,J T Lambert Intermediate School,4
18301,Resica El School,6
18301,Middle Smithfield El School,6
18301,Smithfield El School,6
18301,J M Hill El School,6
18301,East Stroudsburg Elementary School,5
18301,East Stroudsburg Shs South,6
18301,E Stroudsburg Christian Academy,5
18301,Notre Dame Jr./Sr. High School,4
18466,Clear Run El Center,4
18466,Clear Run Intrmd School,4
18058,Pleasant Valley El School,5
18058,Pleasant Valley Intrmd School,6
79936,Capt Walter E Clarke Middle School,6
79936,Sierra Vista Elementary School,6
79936,Vista Del Sol Elementary School,7
79936,Myrtle Cooper Elementary School,7
79936,O'shea Keleher Elementary School,7
79936,Montwood High School,4
79936,Helen Ball Elementary School,6
79936,Americas High School,4
79936,Montwood Middle School,6
79936,Elfida Chavez Elementary School,8
79936,William D Slider Middle School,7
79936,Benito Martinez Elementary School,6
79936,Glen Cove Elementary School,7
79936,J M Hanks High School,5
79936,Pebble Hills Elementary School,7
79936,Tierra Del Sol Elementary School,7
79936,Desert View Middle School,3
79936,Indian Ridge Middle School,4
79936,El Paso Adventist Jr Academy,4
79936,Loma Verde,10
79936,Bill Sybert School,7
79936,Robbin E L Washington Elementary School,5
79936,Jane A Hambric School,6
79912,Howard Burnham Elementary School,8
79912,Marguerite J Lundy Elementary School,9
79912,Morehead Middle School,3
79912,Coronado High School,6
79912,Johnson Elementary School,3
79912,Putnam Elementary School,6
79912,Rivera Elementary School,4
79912,Western Hills Elementary School,7
79912,Guerrero Elementary School,7
79912,Franklin High School,6
79912,Green Elementary School,8
79912,Polk Elementary School,10
79912,Hornedo Middle School,9
79912,Kohlberg Elementary School,7
79912,Tippin Elementary School,10
79912,El Paso Jewish Academy,4
79912,Brown Middle School,5
79912,Western Hills U M C,4
79912,Davinci School For Science And The,7
79912,Vista Del Futuro Charter School,10
79938,Paso Del Norte School,7
79938,Lujan-Chavez Elementary School,7
79938,Sun Ridge Middle School,7
79938,El Dorado High School,5
79938,Hurshel Antwine School,6
79938,Spec Rafael Hernando Middle School,8
79938,Sgt. Roberto Ituarte Elementary School,8
79938,Chester E. Jordan Elementary School,5
79938,Ssg Manuel R Puentes,7
79938,Pebble Hills High School,4
79924,Andress High School,2
79924,Charles Middle School,5
79924,Crosby Elementary School,3
79924,Dowell Elementary School,5
79924,Fannin Elementary School,6
79924,Irvin High School,2
79924,Newman Elementary School,3
79924,Schuster Elementary School,6
79924,Stanton Elementary School,4
79924,Terrace Hills Middle School,3
79924,Collins Elementary School,8
79924,Whitaker Elementary School,3
79924,Bradley Elementary School,6
79924,Dolphin Terrace Elementary School,5
79924,Parkland Elementary School,4
79924,Parkland High School,4
79924,Parkland Middle School,5
79924,Desertaire Elementary School,4
79924,Most Holy Trinity School,4
79924,Northeast Christian Academy,4
79924,North Star Elementary School,7
79924,Transmountain Early College High School,8
79924,Harmony School Of Innovation - El,7
79928,East Montana Middle School,4
79928,Clint High School,4
79928,Wm David Surratt Elementary School,5
79928,Clint J High School,6
79928,Red Sands Elementary School,4
79928,Desert Hills Elementary School,6
79928,Mountain View High School,3
79928,Montana Vista Elementary School,4
79928,Horizon Heights Elementary School,8
79928,Frank Macias Elementary School,3
79928,Horizon Middle School,4
79928,Desert Wind Elementary School,5
79928,Col John O Ensor Middle School,8
79928,Horizon High School,3
79928,John Drugan School,9
79928,Dr Sue A Shook School,8
79928,Carroll T Welch Elementary School,3
79928,Ricardo Estrada J High School,4
79928,Eastlake High School,4
79928,Options High School,5
79928,Clint Isd Early College Academy,7
79928,James P Butler El,8
79928,Mission Ridge,5
79928,Purple Heart Elementary School,6
79907,Capistrano Elementary School,3
79907,Le Barron Park Elementary School,6
79907,Loma Terrace Elementary School,7
79907,Marian Manor Elementary School,6
79907,Mesa Vista Elementary School,5
79907,Pasodale Elementary School,4
79907,Presa Elementary School,7
79907,South Loop Elementary School,5
79907,Valley View Middle School,5
79907,Ysleta Elementary School,7
79907,Ysleta High School,4
79907,Ysleta Middle School,3
79907,Lancaster Elementary School,7
79907,Del Valle High School,6
79907,Camino Real Middle School,6
79907,Mission Valley Elementary School,7
79907,Alicia R. Chacon Elementary School,8
79907,Rio Bravo Middle School,4
79907,North Loop Christian Academy,4
79907,Faith Christian Academy,3
79907,Harmony Science Academy (El Paso),8
79907,Del Valle Elementary School,6
79907,Maranata Christian Academy,3
79925,Bonham Elementary School,5
79925,Burges High School,3
79925,Cielo Vista Elementary School,7
79925,Hughey Elementary School,8
79925,MacArthur El-Intermediate School,5
79925,Ross Middle School,5
79925,East Point Elementary School,7
79925,Eastwood High School,6
79925,Eastwood Heights Elementary School,8
79925,Eastwood Knolls Elementary School,9
79925,Edgemere Elementary School,8
79925,Scotsdale Elementary School,8
79925,St Raphael School,5
79925,New World Montessori School,4
79925,Christian Joy Center Academy,4
79925,Immanuel Christian School,4
79925,Jesus Chapel School,3
79925,I.L.A.,5
79915,Ascarate Elementary School,5
79915,Bel Air High School,4
79915,Cedar Grove Elementary School,5
79915,Del Norte Heights Elementary School,6
79915,Hacienda Heights Elementary School,5
79915,North Loop Elementary School,7
79915,Ramona Elementary School,7
79915,Riverside High School,4
79915,Riverside Middle School,3
79915,Sageland Elementary School,6
79915,Tejas School Of Choice,1
79915,Constance Hulbert Elementary School,3
79915,Valle Verde Early College High School,10
79904,Burnet Elementary School,5
79904,Logan Elementary School,3
79904,Magoffin Middle School,3
79904,Park Elementary School,4
79904,Canyon Hills Middle School,2
79904,Lee Elementary School,4
79904,H R Moye Elementary School,2
79904,Trinity Lutheran School,4
79904,Chapin High School,5
79904,Colin L Powell Elementary School,5
79904,Dr Lorenzo G Lafarelle Middle,1
79927,Socorro High School,3
79927,H D Hilley Elementary School,8
79927,Campestre Elementary School,5
79927,Hueco Elementary School,5
79927,Robert R Rojas Elementary School,7
79927,Escontrias Elementary School,7
79927,Escontrias Early Child Center,5
79927,Socorro Middle School,5
79927,Salvador Sanchez Middle School,5
79927,Ernesto Serna School,6
79902,El Paso High School,4
79902,Lamar Elementary School,9
79902,Mesita Elementary School,7
79902,Wiggs Middle School,6
79902,St Patrick Cathedral School,3
79902,Cathedral High School,4
79902,Academic Opportunities Academy,5
79902,El Paso Country Day School,5
79902,El Paso Bridges Academy,4
79902,St. Clement's Parish School,4
79902,Paso Del Norte Academy-Mesa Charte,3
79934,Richardson Middle School,6
79934,Nixon Elementary School,8
79934,Tom Lea Jr Elementary School,9
79934,Barron Elementary School,5
79930,Austin High School,2
79930,Crockett Elementary School,7
79930,Rusk Elementary School,3
79930,Travis Elementary School,6
79930,School-Age Parent Center,5
79930,Bassett Middle School,2
79930,Clendenin Elementary School,6
79930,Armendariz Middle School,3
79930,Our Lady Of Assumption School,4
79930,Moreno Elementary School,6
79932,Roberts Elementary School,5
79932,Mitzi Bond Elementary School,8
79932,Lincoln Middle School,4
79932,William C Herrera Elementary School,4
79903,Alta Vista Elementary School,5
79903,Coldwell Elementary School,7
79903,Hillside Elementary School,5
79903,St. Joseph School,4
79903,Radford School,4
79903,Loretto Academy,3
79935,New Horizons Home School Academy,4
79935,Eastwood Middle School,7
79935,Vista Hills Elementary School,9
79935,Wee Wisdom School,5
79935,El Paso Academy West,1
79935,El Paso Academy,2
79922,Zach White Elementary School,7
79922,Community Of Faith Christian School,4
79922,Mt Franklin Christian Academy,5
79922,St Marks Day School,5
16509,Robison El School,6
16509,Belle Valley El School,7
16509,Chestnut Hill El School,6
16509,James S Wilson Middle School,8
16509,Wattsburg Area El Center,6
16509,Seneca High School,5
16509,Wattsburg Area Middle School,4
16509,St Boniface Elementary School,5
16509,Erie First Christian Academy,5
16509,Montessori in the Woods,4
16506,Mcdowell High School,7
16506,Grandview El School,6
16506,Community Country Day School,5
16506,Montessori Regional Cs,3
16506,Our Lady of Peace Elementary School,5
16510,Diehl El School,3
16510,Connell El School,5
16510,Clark El School,9
16510,Rolling Ridge El School,8
16510,St James Elementary School,5
16505,Harding El School,5
16505,Tracy El School,5
16505,Westlake Middle School,8
16505,Villa Maria Elementary School,4
16505,Villa Maria Academy,3
16505,Our Ladys Christian School,4
16505,Erie Day School,5
16508,Central High School,2
16508,Northwest Pa Collegiate Academy,9
16508,Cleveland El School,5
16508,Perry El School,3
16508,Roosevelt Middle School,3
16508,Bethel Christian School,5
16502,Emerson-Gridley El School,2
16502,Strong Vincent High School,2
16502,Blessed Sacrament School,4
16502,Erie Rise Leadership Academy Charter School,1
16504,Jefferson El School,2
16504,Lincoln El School,3
16504,Wilson Middle School,3
16504,St Luke School,4
16504,Our Lady Of Mount Carmel School,4
16504,St John-Holy Rosary Eastside Catholic School,5
16428,North East Middle School,7
16428,North East Intrmd El,8
16428,North East High School,7
16428,Creekside Christian School,5
16511,Edison Elementary School,2
16511,Klein El School,7
16511,Iroquois El School,5
16511,Iroquois Junior-Senior High School,6
16511,Gannondale School for Girls,5
16412,Edinboro El School,7
16412,General Mclane High School,7
16412,James W Parker Middle School,7
16441,Waterford El School,5
16441,Fort Leboeuf Senior High School,7
16441,Fort Leboeuf Middle School,8
16415,Fairview El School,8
16415,Fairview Middle School,8
16415,Fairview High School,10
16415,Walnut Creek Middle School,8
16415,Asbury Elementary School,6
97402,Homesource Family Charter School,5
97402,Clear Lake Elementary School,5
97402,Danebo Elementary School,3
97402,Fairfield Elementary School,4
97402,Malabon Elementary School,7
97402,Cascade Middle School,5
97402,Shasta Middle School,5
97402,Willamette High School,6
97402,Meadow View School,7
97402,Applegate Elementary School,3
97402,Crow Middle/High School,4
97402,O'hara Catholic Elementary School,4
97402,Lifegate Christian School,5
97402,Wellsprings Friends School,4
97402,Prairie Mountain School,3
97402,Kalapuya High School,3
97402,Cesar Chavez Elementary School,4
97402,Willamette Leadership Academy,3
97402,Willamette Christian School,4
97401,Coburg Community Charter School,7
97401,Gilham Elementary School,6
97401,Willagillespie Elementary School,7
97401,Cal Young Middle School,7
97401,Monroe Middle School,6
97401,Sheldon High School,9
97401,South Eugene High School,10
97401,Buena Vista Elementary School,4
97401,Marist High School,4
97401,Life Lutheran School,4
97401,Holt Elementary School,5
97401,St Paul Parish School,5
97405,Adams Elementary School,5
97405,Edgewood Community Elementary School,6
97405,Mccornack Elementary School,3
97405,Twin Oaks Elementary School,7
97405,Kennedy Middle School,6
97405,Eugene Education Options,5
97405,Roosevelt Middle School,6
97405,Spencer Butte Middle School,8
97405,Churchill High School,7
97405,Family School,3
